Institution Name,Location,ROAA (%),Efficiency Ratio (%),Total Risk-Based Capital Ratio (%)
Fidelity Federal Bancorp (FDLB),"Evansville, IN",2.30,50.54,26.26
Thomasville Bancshares (THVB),"Thomasville, GA",1.50,48.22,11.33
University Bancorp (UNIB),"Ann Arbor, MI",2.30,83.84,16.78
Seacoast Commerce (SCBH),"San Diego, CA",1.27,71.75,20.07
West Town Bancorp (WTWB),"Raleigh, NC",0.74,75.05,14.01
BancAffiliated (BAFI),"Arlington, TX",1.37,64.87,12.29
Union Bankshares (UNB),"Morrisville, VT",1.30,67.49,13.05
Plumas Bancorp (PLBC),"Quincy, CA",1.20,59.02,13.30
West Bancorp. (WTBA),"West Des Moines, IA",1.27,46.34,11.87
First General Bank (FGEB),"Rowland Heights, CA",1.63,32.96,14.76
Access National Corp. (ANCX),"Reston, VA",1.27,62.07,11.51
T Bancshares (TBNC),"Dallas, TX",2.13,67.92,17.19
First Farmers Financial Corp. (FFMR),"Converse, IN",1.10,58.42,12.82
Summit Bank (SBKO),"Eugene, OR",1.13,55.26,11.47
Trinity Bank (TYBT),"Fort Worth, TX",1.79,41.52,20.39
Citizens Bank,"Carthage, TN",2.21,29.21,30.29
Commonwealth Business Bank (CWBB),"Los Angeles, CA",1.38,49.11,14.95
First Intercontinental Bank (FIEB),"Doraville, GA",2.27,48.27,21.07
Pacific City Financial Corp. (PFCF),"Los Angeles, CA",1.25,54.93,13.48
Coastal Banking Co. (CBCO),"Beaufort, SC",1.29,69.94,19.74
Fentura Financial (FETM),"Fenton, MI",0.81,71.89,11.41
Parke Bancorp (PKBK),"Sewell, NJ",2.01,39.02,18.33
Lyons Bancorp (LYBC),"Lyons, NY",0.82,66.92,12.34
Santa Cruz County Bank (SCZC),"Santa Cruz, CA",1.17,55.10,12.89
Minster Financial Corp. (MTFC),"Minster, OH",1.12,57.87,14.69
FFD Financial Corp. (FFDF),"Dover, OH",1.37,56.61,12.72
Unity Bancorp (UNTY),"Clinton, NJ",1.17,59.13,13.84
Cambridge Bancorp (CATC),"Cambridge, MA",0.95,68.38,13.14
Greer Bancshares3,"Greer, SC",0.73,75.66,16.26
First Century Bancorp.,"Gainesville, GA",1.05,80.84,36.30
Home Loan Financial Corp. (HLFN),"Coshocton, OH",1.55,51.53,16.16
Washington Federal Bank for Savings,"Chicago, IL",1.51,46.44,25.23
Capital Bank (CBJC),"San Juan Capistrano, CA",1.14,56.08,12.06
First Commerce Bancorp,"Lewisburg, TN",1.31,53.05,13.44
Bank of Princeton (BPRN),"Princeton, NJ",1.16,59.34,12.05
First Bancorp (FBLV),"Lebanon, VA",1.31,55.63,16.09
Bank of South Carolina Corp. (BKSC),"Charleston, SC",1.28,58.95,15.46
1st Summit Bancorp of Johnstown (FSMK),"Johnstown, PA",1.05,57.52,18.70
Susquehanna Community Financial (SQCF),"West Milton, PA",1.16,57.51,14.63
Truxton Corp. (TRUX),"Nashville, TN",1.35,61.38,14.80
Oregon Bancorp (ORBN),"Salem, OR",2.44,76.59,14.43
Greene County Bancorp (MHC) (GCBC),"Catskill, NY",1.15,52.41,15.56
Landmark Bancorp (LARK),"Manhattan, KS",1.00,67.67,18.46
United American Bank (UABK),"San Mateo, CA",1.06,85.31,13.65
Bank First National Corp. (BFNC),"Manitowoc, WI",1.13,54.08,11.68
Merchants Bancorp,"Hillsboro, OH",1.13,54.88,13.84
Cass Information Systems (CASS),"Saint Louis, MO",1.62,72.06,22.75
Farmers Bancorp (FABP),"Frankfort, IN",1.04,66.80,12.77
SouthEast Bank,"Farragut, TN",0.78,67.44,16.56
Somerset Trust Holding Co. (SOME),"Somerset, PA",0.97,71.40,11.92
Citizens Financial Services (CZFS),"Mansfield, PA",1.06,57.61,14.93
PSB Holdings (PSBQ),"Wausau, WI",1.07,59.41,14.01
Carolina Financial Corp. (CARO),"Charleston, SC",1.14,64.90,14.97
HomeTown Bank,"Galveston, TX",1.10,58.85,17.06
Peoples Limited (PPLL),"Wyalusing, PA",0.98,66.29,14.37
Heartland BancCorp (HLAN),"Gahanna, OH",1.05,62.78,13.16
F.S. Bancorp (FXLG),"Lagrange, IN",1.23,61.36,15.25
NASB Financial (NASB),"Grandview, MO",1.52,64.63,15.84
Baker Boyer Bancorp (BBBK),"Walla Walla, WA",0.96,74.21,16.58
Cashmere Valley Bank (CSHX),"Cashmere, WA",1.25,52.53,18.91
Security National Corp. (SNLC),"Dakota Dunes, SD",1.08,58.67,16.92
FS Bancorp (FSBW),"Mountlake Terrace, WA",1.31,66.62,12.88
Southeastern Bank Financial 3,"Augusta, GA",1.00,61.26,17.23
Chino Commercial Bancorp (CCBC),"Chino, CA",0.85,64.79,15.37
Southern Missouri Bancorp (SMBC),"Poplar Bluff, MO",1.06,56.82,12.11
Commercial National Financial (CEFC),"Ithaca, MI",0.65,70.77,13.91
Muncy Bank Financial (MYBF),"Muncy, PA",1.03,63.26,17.31
Northeast Indiana Bancorp (NIDB),"Huntington, IN",1.22,60.23,16.38
Paragon Commercial Corp. (PBNC),"Raleigh, NC",0.95,56.35,13.21
FFW Corp. (FFWC),"Wabash, IN",1.16,62.90,15.46
Southern First Bancshares (SFST),"Greenville, SC",1.04,55.76,12.11
Community First Bank of Ind. (CFHW),"Kokomo, IN",1.26,59.72,13.37
Choice Bancorp (CBKW),"Oshkosh, WI",1.03,48.74,15.15
